"%s was successfully added to your shopping cart.","%s ถูกเพิ่มลงในตะกร้าของคุณแล้ว"
"Register to Create an Account","ลงทะเบียนเพื่อสร้างบัญชีผู้ใช้"
"Register and save time!","ลงทะเบียนเพื่อประหยัดเวลาของคุณ!"
"Checkout method","วิธีการ Checkout"
"Shipping Method","วิธีการส่งสินค้า"
"Shipping Methods","วิธีการส่งสินค้า"
"Invalid shipping method.","วิธีการส่งสินค้าไม่ถูกต้อง"
"Payment Method","วีธีการชำระเงิน"
"Create Billing Address","สร้างที่อยู่สำหรับออกใบเสร็จ"
"Create Shipping Address","สร้างที่อยู่สำหรับจัดส่งสินค้า"
"Place Order","สั่งซื้อ"
"Order Success","สั่งซื้อสำเร็จแล้ว"
"Configurable product image","สามารถแก้ไขรูปสินค้า"
"Product","สินค้า"
"Some of the products you requested are not available in the desired quantity","สินค้าบางรายการที่คุณต้องการมีจำนวนไม่เพียงพอกับที่คุณขอซื้อ"
"Some of the products you requested are unavailable","สินค้าที่คุณต้องการบางรายการไม่มีจำหน่าย"
"Send to","ส่งไปยัง"
"Ship to Multiple Addresses","ส่งไปยังที่อยู่หลายที่"
"Ship to different address","ส่งไปยังที่อยู่ที่ต่างกัน"
"Ship to this address","ส่งไปยังที่อยู่นี้"
"After adding a product redirect to shopping cart","หลังจากเพิ่มสินค้าให้กลับไปยังตะกร้า"
"Update Qty &amp; Addresses","อัพเดท จำนวน &amp; ที่อยู่"
"Update Total","อัพเดทยอดรวมทั้งหมด"
"Update Shopping Cart","อัพเดทตะกร้า"
"Email Address","อีเมล"
"Maximum qty allowed for Shipping to multiple addresses is %s","อนุญาตจำนวนสูงสุดสำหรับส่งสินค้าหลายที่ %s"
"Allow Guest Checkout","อนุญาตให้ลูกค้าทำการ Checkout ได้"
"Quote Lifetime (days)","อ้างอิงเวลาตลอดการใช้งาน (วัน)"
"Shipping to","จัดส่งไปยัง"
"Qty","จำนวน"
"Total for this address","ทั้งหมดสำหรับที่อยู่นี้"
"Continue to Review Your Order","ทำการตรวจสอบคำสั่งซื้อของคุณต่อ"
"Address","ที่อยู่"
"Street Address","ที่อยู่"
"Address %s of %s","ที่อยู่ %s ของ %s"
"Billing Address","ที่อยู่สำหรับออกใบเสร็จ"
"Shipping Address","ที่อยู่สำหรับจัดส่งสินค้า"
"New Address","ที่อยู่ใหม่"
"Thank you for your purchase!","ขอบคุณที่ซื้อสินค้ากับเรา!"
"Sorry, no quotes are available for this order at this time.","ขออภัย, ไม่มีการอ้างอิงสำหรับคำสั่งซื้อนี้ที่ใช้ได้ขณะนี้"
"Payment Information","ข้อมูลการชำระเงิน"
"Billing Information - %s","ข้อมูลการออกใบเสร็จ - %s"
"Billing Information","ข้อมูลในการออกใบเสร็จ"
"Shipping Information","ข้อมูลในการจัดส่งสินค้า"
"Invalid data","ข้อมูลไม่ถูกต้อง"
"Load customer quote error","ข้อผิดพลาดในการโหลดคำอ้างอิงของลูกค้า"
"Continue to Billing Information","ดำเนินการส่วนข้อมูลการออกใบเสร็จต่อ"
"Continue","ชำระเงิน"
"Continue to Shipping Information","ดำเนินการต่อในข้อมูลการจัดส่งสินค้า"
"Proceed to Checkout","ชำระเงิน"
"Your Checkout Progress","ความคืบหน้าในการ Checkout ของคุณ"
"Your order # is: %s","คำสั่งซื้อของคุณ # คือ: %s"
"You will receive an order confirmation email with details of your order and a link to track its progress.","คุณจะได้รับอีเมล์ยืนยันการสั่งซื้อพร้อมรายละเอียดการสั่งซื้อของคุณและลิงค์สำหรับติดตามความคืบหน้าของการสั่งซื้อ"
"Are you sure you would like to remove this item from the shopping cart?","คุณแน่ใจว่าต้องการลบสินค้านี้ออกจากตะกร้า?"
"You have no items in your shopping cart.","คุณไม่มีรายการสินค้าในตะกร้าของคุณ"
"Default Shipping","ค่าเริ่มต้นการจัดส่งสินค้า"
"Default Billing","ค่าเริ่มต้นสำหรับออกใบเสร็จ"
"Order Review","ตรวจสอบคำสั่งซื้อ"
"Review Order","ตรวจสอบคำสั่งซื้อ"
"Review Order - %s","ตรวจสอบคำสั่งซื้อ - %s"
"Checkout Options","ตัวเลือกการ Checkout"
"Estimate Shipping and Tax","ประมาณค่าขนส่งและภาษี"
"Country","ประเทศ"
"Data saving problem","ปัญหาในการบันทึกข้อมูล"
"Close","ปิด"
"Apply Coupon","นำไปใช้"
"Coupon code was applied successfully.","นำโค้ดคูปองไปใช้แล้ว"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","นี้คือ<a href=""%s""><strong>%s รายการ</strong></a>ในตะกร้าของคุณ"
"Edit","แก้ไข"
"Edit Items","แก้ไขรายการสินค้า"
"Edit Your Cart","แก้ไขตะกร้าของคุณ"
"Edit Address","แก้ไขที่อยู่"
"Edit Billing Address","แก้ไขที่อยู่สำหรับออกใบเสร็จ"
"Edit Shipping Address","แก้ไขที่อยู่สำหรับจัดส่งสินค้า"
"Display Cart Summary","แสดงสรุปรายละเอียดตะกร้า"
"Display item quantities","แสดงจำนวนรายการสินค้า"
"Display number of items in cart","แสดงจำนวนรายการในตะกร้า"
"Use Billing Address","ใช้ที่อยู่สำหรับออกใบเสร็จ"
"Enter your coupon code if you have one.","ใส่รหัสคูปองถ้าคุณมี"
"Enter a New Address","ใส่ที่อยู่ใหม่"
"Telephone","โทรศัพท์"
"Fax","โทรสาร"
"Product does not exist","ไม่มีสินค้า"
"Cannot remove item","ไม่สามารถลบรายการสินค้าออก"
"Cannot update shopping cart","ไม่สามารถอัพเดทตะกร้าได้"
"Can not apply coupon code.","ไม่สามารถนำรหัสคูปองไปใช้ได้"
"Can not add item to shopping cart","ไม่สามารถเพิ่มรายการสินค้าลงในตะกร้าได้"
"Payment method is not defined","ไม่ได้ระบุวิธีการชำระเงิน"
"Add New Address","เพิ่มที่อยู่ใหม่"
"Add to Wishlist","เพิ่มไปยัง Wishlist"
"Add to Cart","เพิ่มไปยังตะกร้า"
"Add to Compare","เพิ่มไปเปรียบเทียบ"
"City","เมือง"
"Based on your selection, you may be interested in the following items:","เมื่อดูจากการเลือกซื้อของคุณ คุณอาจจะสนใจในรายการต่าง ๆ ดังต่อไปนี้:"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","เรากำลังดำเนินการกับคำสั่งซื้อของคุณอยู่ คุณจะได้รับอีเมลพร้อมรายละเอียดคำสั่งซื้อในไม่ช้า และเมื่อเราจัดส่งคำสั่งซื้อให้คุณ คุณจะได้รับอีเมล์อีกฉบับซึ่งจะมีลิงค์สำหรับติดตามความคืบหน้า"
"Your order has been received","เราได้รับคำสั่งซื้อของคุณแล้ว"
"Get a Quote","เรียกข้อมูลอ้างอิง"
"Select State/Province...","เลือก รัฐ/จังหวัด..."
"Select Shipping Method","เลือกวิธีการจัดส่งสินค้า"
"Select Address","เลือกที่อยู่"
"Select Addresses","เลือกที่อยู่"
"Select a billing address from your address book or enter a new address.","เลือกที่อยู่สำหรับออกใบเสร็จจากสมุดที่อยู่ของคุณหรือใส่ที่อยู่ใหม่่"
"Select a shipping address from your address book or enter a new address.","เลือกที่อยู่สำหรับจัดส่งสินค้าจากสมุดที่อยู่ของคุณหรือใส่ที่อยู่ใหม่"
"Continue Shopping","เลือกซื้อสินค้าต่อ"
"Login","เข้าสู่ระบบ"
"Easy access to your order history and status","เข้าถึงข้อมูลประวัติคำสั่งซื้อและสถานะคำสั่งซื้อ์ต่างๆ ได้ง่าย"
"Change Payment Method","เปลี่ยนแปลงวิธีการชำระเงิน"
"Change Shipping Method","เปลี่ยนแปลงวิธีการชำระเงิน"
"Change Billing Address","เปลี่ยนแปลงที่อยู่สำหรับออกใบเสร็จ"
"Change Shipping Address","เปลี่ยนแปลงที่อยู่สำหรับจัดส่งสินค้า"
"Cannot move item to wishlist","Cannot move item to wishlist"
"Checkout","Checkout"
"Checkout with Multiple Addresses","Checkout ด้วยที่อยู่หลายที่"
"Checkout as Guest","Checkout ในฐานะผู้เยี่ยมชม"
"Checkout as a Guest or Register","Checkout ในฐานะผู้เยี่ยมชมหรือลงทะเบียน"
"Click <a href=""%s"" target=""_blank"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" target=""_blank"">here to print</a> a copy of your order confirmation."
"First Name","First Name"
"Last Name","Last Name"
"My Account","My Account"
"Please enter a coupon code.","Please enter a coupon code."
"Please enter a coupon code.","Please enter a coupon code."
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Store Pickup","Store Pickup"
"Street Address 2","Street Address 2"
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","There is <a href=""%s""><strong>1 item</strong></a> in your cart."
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"You have no items in your cart.","You have no items in your cart."
"Your order number is %s","Your order number is %s"
"Grand Total Excl. Tax","ยอดรวมก่อนภาษี"
"Tax","ภาษีมูลค่าเพิ่ม 7%"
"Grand Total Incl. Tax","ยอดที่ต้องชำระ (รวมภาษีมูลค่าเพิ่ม)"
"Edit item","แก้ไขสินค้า"
"Empty Cart","ยกเลิกทั้งหมด"
"SKU","รหัสสินค้า"
"Delivery on %s","สินค้าพร้อมจัดส่ง %s"
"items","รายการสินค้า"
"Use difference billing address","รายละเอียดใบกำกับภาษี"
"Use different billing address","ต้องการใบกำกับภาษี"
"Apply Coupon","นำคูปองไปใช้"
"Coupon code ""%s"" was applied.","คูปอง ""%s"" ได้เพิ่มใช้งานแล้ว"
"Coupon code %s was canceled.","ยกเลิกคูปอง %s เรียบร้อยแล้ว"
"You have %s loyalty credit(s) available.","คุณมี %s เครดิตที่สามารถใช้ได้"
"The product could not be found.","ไม่พบสินค้าที่ท่านเลือก"
"Please enter your email address","กรุณาใส่อีเมลของคุณ"
"Update Cart", "อัพเดทตะกร้า"
"Ext.","เบอร์ต่อ"
"promotion price","ราคาโปรโมชั่น"
"Guest order","ซื้อแบบไม่เป็นสมาชิก"
"Use Price & Points","ใช้คะแนน + เงิน"
"An error occurred in the process of payment","การชำระเงินของคุณไม่สำเร็จ โปรดลองอีกครั้ง"
